#                   Germanium Detector Map
#----------------------------------------------------#
#           FEBEXID  FEBEXCHA  DetID  CrystalID
#----------------------------------------------------#
              0       0         9     0 
              0       1         9     1 
              0       2         9     2
#----------------------------------------------------#
              0       3         0     0
              0       4         0     1
              0       5         0     2
#----------------------------------------------------#
              0       6        1      0
              0       7        1      1
              0       8        1      2
#----------------------------------------------------#
              0       9        2     0
              0       10       2     1
              0       11       2     2
#----------------------------------------------------#
              0       12       3     0
              0       13       3     1
              0       14       3     2
#----------------------------------------------------#
              0       15       4     0
              1       0         4     1
              1       1         4     2
#----------------------------------------------------#
              1       2        5     0
              1       3         5    1
              1       4         5     2
#----------------------------------------------------#
              1       5         6     0
              1       6         6     1
              1       7         6     2
#----------------------------------------------------#
              1       8         7     0
              1       9         7     1
              1       10        7     2
#----------------------------------------------------#
              1       11        8     0
              1       12       8     1
              1       13       8     2
#----------------------------------------------------#
              1       14       10     0
              1       15       10     1
              2       0         10     2
#----------------------------------------------------#
              2       1         11     0
              2       2        11     1
              2       3         11     2
#----------------------------------------------------#
              2       4         12    0
              2       5         12     1
              2       6         12     2
#----------------------------------------------------#
              2       7         13     0
              2       8         13     1
              2       9        13     2
#----------------------------------------------------#
              2       10        14     0
              2       11        14    1
              2       12       14     2
#----------------------------------------------------#
              2       13       15     0
              2       14       15     1
              2       15       15     2
#----------------------------------------------------#
              3       0         16     0
              3       1         16     1
              3       2        16     2
#----------------------------------------------------#
              3       3         17     0
              3       4         17    1
              3       5         17     2
#----------------------------------------------------#
              3       6         18     0
              3       7         18     1
              3       8         18     2
#----------------------------------------------------#
              3       9        19     0
              3       10        19     1
              3       11        19    2
#----------------------------------------------------#
              3       12       20     0
              3       13       20     1
              3       14       20     2
#----------------------------------------------------#
              3       15       21     0
